,BLCA,BRCA,CHOL,COAD,ESCA,HNSC,KICH,KIRC,KIRP,LIHC,LUAD,LUSC,PRAD,READ,STAD,THCA,UCEC
BLCA,33,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1
BRCA,1,222,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
CHOL,0,0,15,0,0,0,0,1,0,2,0,0,0,0,0,0,0
COAD,0,0,0,73,0,0,0,0,0,0,0,0,0,6,3,0,0
ESCA,0,0,0,0,19,0,0,0,0,0,0,1,0,0,6,0,0
HNSC,1,0,0,0,0,80,0,0,0,0,0,6,0,0,0,0,1
KICH,0,0,0,0,0,1,46,2,1,0,0,0,0,0,0,0,0
KIRC,0,0,0,0,0,0,5,133,5,1,0,0,0,0,0,0,0
KIRP,0,0,0,0,0,0,1,2,61,0,0,0,0,0,0,0,0
LIHC,0,0,4,0,0,1,0,0,0,95,0,0,0,0,0,0,0
LUAD,0,0,0,0,0,0,0,0,0,0,113,4,0,0,1,0,0
LUSC,2,0,1,0,0,4,0,0,0,0,7,88,0,0,0,0,0
PRAD,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0
READ,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0
STAD,0,0,0,0,5,0,0,0,0,1,0,0,0,0,66,0,0
THCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0
UCEC,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
