cancer_type,support,precision,recall,f1
THCA,118,1.0,1.0,1.0
PRAD,104,1.0,1.0,1.0
BRCA,226,0.9867,0.9823,0.9845
UCEC,70,0.9714,0.9714,0.9714
LUAD,118,0.9417,0.9576,0.9496
LIHC,100,0.9406,0.95,0.9453
KIRC,144,0.9638,0.9236,0.9433
KIRP,64,0.9104,0.9531,0.9313
HNSC,88,0.8989,0.9091,0.904
KICH,50,0.8846,0.92,0.902
STAD,72,0.8684,0.9167,0.8919
BLCA,38,0.8919,0.8684,0.88
LUSC,102,0.88,0.8627,0.8713
COAD,82,0.8295,0.8902,0.8588
CHOL,18,0.75,0.8333,0.7895
ESCA,26,0.7917,0.7308,0.76
READ,20,0.4545,0.25,0.3226
