held_out_cancer_type,n_test,n_tumor,n_normal,n_train,auc,accuracy
TCGA-BLCA,57,38,19,2103,1.0,0.9824561403508771
TCGA-BRCA,339,226,113,1821,0.9984728639674211,0.9970501474926253
TCGA-CHOL,27,18,9,2133,1.0,1.0
TCGA-COAD,123,82,41,2037,1.0,1.0
TCGA-ESCA,39,26,13,2121,0.9881656804733727,0.9230769230769231
TCGA-HNSC,132,88,44,2028,0.996900826446281,0.9545454545454546
TCGA-KICH,75,50,25,2085,0.9975999999999999,0.96
TCGA-KIRC,216,144,72,1944,0.9919945987654322,0.9907407407407407
TCGA-KIRP,96,64,32,2064,1.0,1.0
TCGA-LIHC,150,100,50,2010,0.9985999999999999,0.8466666666666667
TCGA-LUAD,177,118,59,1983,1.0,0.9661016949152542
TCGA-LUSC,153,102,51,2007,1.0,0.9934640522875817
TCGA-PRAD,156,104,52,2004,0.9498890532544378,0.75
TCGA-READ,30,20,10,2130,1.0,1.0
TCGA-STAD,108,72,36,2052,1.0,0.9074074074074074
TCGA-THCA,177,118,59,1983,0.9824762999138179,0.96045197740113
TCGA-UCEC,105,70,35,2055,0.9979591836734694,0.8857142857142857
