rank_abs_lr_coef,gene_id,gene_id_base,gene_name,lr_coef,abs_lr_coef,direction_if_high,scaler_mean,scaler_scale
1,ENSG00000164619.10,ENSG00000164619,BMPER,-0.1752486240192859,0.1752486240192859,normal,0.8295977104085293,0.9119277772695202
2,ENSG00000187730.9,ENSG00000187730,GABRD,0.15948372824040621,0.15948372824040621,tumor,1.0002310809050259,0.9863006716770295
3,ENSG00000123500.10,ENSG00000123500,COL10A1,0.1528665955442107,0.1528665955442107,tumor,2.3328062389329434,2.4541666775285527
4,ENSG00000157766.19,ENSG00000157766,ACAN,0.14608134615566662,0.14608134615566662,tumor,1.0121382749307202,1.127954561844249
5,ENSG00000138722.10,ENSG00000138722,MMRN1,-0.14465671120653328,0.14465671120653328,normal,2.290710182071391,1.6346845973810606
6,ENSG00000163687.14,ENSG00000163687,DNASE1L3,-0.14459829775836733,0.14459829775836733,normal,2.440774702327268,1.7277869928504554
7,ENSG00000135374.11,ENSG00000135374,ELF5,-0.1397313130472945,0.1397313130472945,normal,1.6141243883501688,1.9631269878149935
8,ENSG00000105664.11,ENSG00000105664,COMP,0.1373004023903641,0.1373004023903641,tumor,2.919349151566305,2.4820324464337373
9,ENSG00000103253.19,ENSG00000103253,HAGHL,0.13729804140963642,0.13729804140963642,tumor,1.8199199505259565,1.2488390953259203
10,ENSG00000164283.13,ENSG00000164283,ESM1,0.13523587171854828,0.13523587171854828,tumor,3.1329157462668586,2.0283369193266902
11,ENSG00000170373.8,ENSG00000170373,CST1,0.13455505330314152,0.13455505330314152,tumor,2.2611628245522652,2.7080238868892192
12,ENSG00000180953.11,ENSG00000180953,ST20,0.13148923822942496,0.13148923822942496,tumor,1.0988166326395472,0.6599588512210878
13,ENSG00000100985.7,ENSG00000100985,MMP9,0.12666161555154407,0.12666161555154407,tumor,3.97233513740045,2.255953054517055
14,ENSG00000134291.12,ENSG00000134291,TMEM106C,0.12660702263971776,0.12660702263971776,tumor,5.934836438219116,0.942654238902198
15,ENSG00000163661.4,ENSG00000163661,PTX3,-0.1254357011780611,0.1254357011780611,normal,1.7384645830241263,1.4419568230570758
16,ENSG00000183378.12,ENSG00000183378,OVCH2,-0.12209779557755696,0.12209779557755696,normal,0.6995484883578716,1.1006163384579608
17,ENSG00000170509.12,ENSG00000170509,HSD17B13,-0.12204720100577615,0.12204720100577615,normal,1.2725873638969063,1.9384980310636615
18,ENSG00000153993.13,ENSG00000153993,SEMA3D,-0.12031600149802908,0.12031600149802908,normal,1.6491650465819294,1.4586335414713931
19,ENSG00000175832.13,ENSG00000175832,ETV4,0.1197188295818487,0.1197188295818487,tumor,3.1376404046113295,1.981869085880209
20,ENSG00000189134.4,ENSG00000189134,NKAPL,-0.11874670148769231,0.11874670148769231,normal,1.0099795230026214,0.8019321089880791
21,ENSG00000118523.6,ENSG00000118523,CCN2,0.11867035447653548,0.11867035447653548,tumor,7.765367873637937,1.7835394154645907
22,ENSG00000183287.14,ENSG00000183287,CCBE1,-0.11810350144498594,0.11810350144498594,normal,1.2370032957370556,1.2997602034539473
23,ENSG00000118785.14,ENSG00000118785,SPP1,0.11749724251944205,0.11749724251944205,tumor,6.8596414329632225,3.1412436822442524
24,ENSG00000164932.13,ENSG00000164932,CTHRC1,0.11687185131026087,0.11687185131026087,tumor,4.300273990066488,2.291726408806277
25,ENSG00000145147.20,ENSG00000145147,SLIT2,0.1153986690024889,0.1153986690024889,tumor,2.5959061690767657,1.5637342634501699
26,ENSG00000177098.9,ENSG00000177098,SCN4B,0.11423765619014746,0.11423765619014746,tumor,2.367455206874667,1.4860690792688787
27,ENSG00000164850.15,ENSG00000164850,GPER1,-0.11292634478530104,0.11292634478530104,normal,2.921522936943511,1.4855509686088386
28,ENSG00000179934.7,ENSG00000179934,CCR8,0.11221479733245127,0.11221479733245127,tumor,0.723048199261645,0.7843572747967006
29,ENSG00000112530.11,ENSG00000112530,PACRG,-0.11126260551826886,0.11126260551826886,normal,1.6142711245894352,1.383710308161502
30,ENSG00000185838.14,ENSG00000185838,GNB1L,-0.11121807615636861,0.11121807615636861,normal,1.6157762912984035,0.6725219482669909
31,ENSG00000146250.7,ENSG00000146250,,-0.1094270425459934,0.1094270425459934,normal,1.0006152934577672,1.052842117718738
32,ENSG00000164764.11,ENSG00000164764,,-0.10679665935344042,0.10679665935344042,normal,2.658802311018741,1.7755332460190048
33,ENSG00000137033.11,ENSG00000137033,,-0.10641538998388948,0.10641538998388948,normal,3.890660960381783,1.7641919065247482
34,ENSG00000145708.11,ENSG00000145708,,-0.10630180733145463,0.10630180733145463,normal,1.3301306431933166,1.5924212042698573
35,ENSG00000176731.12,ENSG00000176731,,0.10544074638810454,0.10544074638810454,tumor,3.4759767381047646,0.7954094330541116
36,ENSG00000077264.15,ENSG00000077264,,-0.10510666023350893,0.10510666023350893,normal,0.8495666384932142,0.9481527829254908
37,ENSG00000145335.17,ENSG00000145335,,-0.10433085779869852,0.10433085779869852,normal,1.3100087319691112,0.9480963066404524
38,ENSG00000175899.15,ENSG00000175899,,0.10380721236607204,0.10380721236607204,tumor,8.157956611683355,1.6412399106029065
39,ENSG00000144891.18,ENSG00000144891,,0.10360010895518375,0.10360010895518375,tumor,2.218398613168093,1.8767933895408284
40,ENSG00000169218.14,ENSG00000169218,,-0.1027153393690396,0.1027153393690396,normal,0.9577806626890241,1.2788356703120316
41,ENSG00000177363.5,ENSG00000177363,,-0.10190463572551674,0.10190463572551674,normal,1.9358149600398222,1.5136712884678256
42,ENSG00000186827.11,ENSG00000186827,,0.1018721777215119,0.1018721777215119,tumor,2.541891630467741,1.1291998776193357
43,ENSG00000288675.1,ENSG00000288675,,0.10181939453829494,0.10181939453829494,tumor,0.7427812197252114,0.48392966748551147
44,ENSG00000179914.5,ENSG00000179914,,-0.1009363064615131,0.1009363064615131,normal,1.4110073219784283,2.22281030409982
45,ENSG00000174514.13,ENSG00000174514,,-0.10057073509522173,0.10057073509522173,normal,2.4650912134502847,1.8177276271374714
46,ENSG00000077616.11,ENSG00000077616,,-0.10012779929615719,0.10012779929615719,normal,0.7444079376434375,0.6249002789348156
47,ENSG00000066468.23,ENSG00000066468,,-0.09924271291647184,0.09924271291647184,normal,4.088659913926992,1.5610060995603068
48,ENSG00000128918.15,ENSG00000128918,,-0.09914205388225135,0.09914205388225135,normal,1.8240749790696946,1.6191822020043796
49,ENSG00000147889.18,ENSG00000147889,,0.09882374523417446,0.09882374523417446,tumor,2.1106413885558952,1.679916242361788
50,ENSG00000143196.5,ENSG00000143196,DPT,-0.0985924097474555,0.0985924097474555,normal,2.9133646773620505,2.192190407129077
51,ENSG00000196549.12,ENSG00000196549,,-0.0983597076462581,0.0983597076462581,normal,3.0152569994911866,2.2366944125993755
52,ENSG00000064205.10,ENSG00000064205,,-0.0978524239280933,0.0978524239280933,normal,2.010690105786752,1.881944199702106
53,ENSG00000175745.14,ENSG00000175745,,0.09742503672239096,0.09742503672239096,tumor,3.706354173641102,1.4851181713608037
54,ENSG00000158042.9,ENSG00000158042,,0.09740816719197863,0.09740816719197863,tumor,5.764802316772772,0.7246962718369111
55,ENSG00000130226.17,ENSG00000130226,,-0.096539677167813,0.096539677167813,normal,0.672996935347175,1.1899582669120083
56,ENSG00000187699.10,ENSG00000187699,,-0.09623434602622208,0.09623434602622208,normal,2.0574997070225516,1.4011857733916768
57,ENSG00000205869.2,ENSG00000205869,,-0.0961309610612328,0.0961309610612328,normal,1.0962833556627387,0.9562183847829901
58,ENSG00000149483.12,ENSG00000149483,,0.09606082884283526,0.09606082884283526,tumor,3.662447804231566,0.5951586946078241
59,ENSG00000134121.10,ENSG00000134121,,0.09576640014469257,0.09576640014469257,tumor,1.8445031262328253,1.5841928821067186
60,ENSG00000189056.14,ENSG00000189056,,-0.09556111232087408,0.09556111232087408,normal,1.3172163894150326,1.3728299092991245
61,ENSG00000053372.5,ENSG00000053372,,-0.09554255909415965,0.09554255909415965,normal,5.480895084565553,0.7857422531181691
62,ENSG00000049246.14,ENSG00000049246,,-0.09541280749506253,0.09541280749506253,normal,3.2614430976688715,1.12876248302733
63,ENSG00000178719.17,ENSG00000178719,,0.09441863028354981,0.09441863028354981,tumor,8.124728383794377,0.8190189364002395
64,ENSG00000283199.3,ENSG00000283199,,-0.0938757351513986,0.0938757351513986,normal,1.0575259283094562,1.1438208410558541
65,ENSG00000157150.5,ENSG00000157150,,-0.09380098721868758,0.09380098721868758,normal,2.171403644676015,1.7337413121765743
66,ENSG00000019102.12,ENSG00000019102,,-0.09379920726461784,0.09379920726461784,normal,3.980735471608322,2.6157483328181357
67,ENSG00000179528.16,ENSG00000179528,,0.09376714992342355,0.09376714992342355,tumor,1.0917659541738522,0.8303905748037014
