gene_id,gene_name,abs_coef_lr
ENSG00000164619.10,BMPER,0.1752486240192859
ENSG00000187730.9,GABRD,0.15948372824040621
ENSG00000123500.10,COL10A1,0.1528665955442107
ENSG00000157766.19,ACAN,0.14608134615566662
ENSG00000138722.10,MMRN1,0.14465671120653328
ENSG00000163687.14,DNASE1L3,0.14459829775836733
ENSG00000135374.11,ELF5,0.1397313130472945
ENSG00000105664.11,COMP,0.1373004023903641
ENSG00000103253.19,HAGHL,0.13729804140963642
ENSG00000164283.13,ESM1,0.13523587171854828
ENSG00000170373.8,CST1,0.13455505330314152
ENSG00000180953.11,ST20,0.13148923822942496
ENSG00000100985.7,MMP9,0.12666161555154407
ENSG00000134291.12,TMEM106C,0.12660702263971776
ENSG00000163661.4,PTX3,0.1254357011780611
ENSG00000183378.12,OVCH2,0.12209779557755696
ENSG00000170509.12,HSD17B13,0.12204720100577615
ENSG00000153993.13,SEMA3D,0.12031600149802908
ENSG00000175832.13,ETV4,0.1197188295818487
ENSG00000189134.4,NKAPL,0.11874670148769231
ENSG00000118523.6,CCN2,0.11867035447653548
ENSG00000183287.14,CCBE1,0.11810350144498594
ENSG00000118785.14,SPP1,0.11749724251944205
ENSG00000164932.13,CTHRC1,0.11687185131026087
ENSG00000145147.20,SLIT2,0.1153986690024889
ENSG00000177098.9,SCN4B,0.11423765619014746
ENSG00000164850.15,GPER1,0.11292634478530104
ENSG00000179934.7,CCR8,0.11221479733245127
ENSG00000112530.11,PACRG,0.11126260551826886
ENSG00000185838.14,GNB1L,0.11121807615636861
